問題,選択肢1,選択肢2,選択肢3,選択肢4,正解
"次のうち実際にあるコマンドは？","CLASICCOPY","ARRAYCLASIC","CLASSICMATCH","LAYERCLASSIC","ARRAYCLASIC"
"破断線を作図するコマンドは？","HADAN","BREAKLINE","CUTLINE","DIVIDELINE","BREAKLINE"
"属性を保持したままブロックを分解するコマンドは？","EXPLODE","BURST","UNGROUP","ATEXPRODE","BURST"
"コマンドライン上で数式計算を実行するコマンドは？","NUMBER","CAL","ANALYZE","SCRIPT","CAL"
"オブジェクトのプロパティや位置を変更するコマンドは？","CHPROP","CHANGE","MODIFY","SELECT","CHANGE"
"オブジェクトのプロパティを編集するコマンドは？","PROPCHANGE","MODIFY","CHPROP","SELECT","CHPROP"
"次のうち実際にあるコマンドは？","LAYERCLASSIC","CLASICLAYER","CLASSICLAY","LAYCLASS","CLASICLAYER"
"次のうち実際にあるコマンドは？","REFCLASSIC","CLASICXREF","CLASSICATTACH","CLASSICREF","CLASICXREF"
"選択した寸法のプロパティを変更するコマンドは？","DIMEDIT","DIMOVERRIDE","DIMTEDIT","DIMREGEN","DIMOVERRIDE"
"寸法オブジェクトを再描画するコマンドは？","REGEND","REGENALLDIM","REGENDIM","DIMREGEN","DIMREGEN"
"複数条件でオブジェクトをフィルタリングして選択するコマンドは？","SELECTION","FILT","FILTER","FIND","FILTER"
"3Dオブジェクトを2D平面化するEXPRESSツールズのコマンドは？","REDUCE","FLATTEN","TRIM","EXPLODE","FLATTEN"
"選択したオブジェクトに接触するすべてのオブジェクトを選択するEXPRESSツールズのコマンドは？","FS","SELECT","QSELECT","FILTER","FS"
"選択したハッチングの境界線を生成するコマンドは？","HATCHBOUNDARY","BOUNDARY","HATCHGENERATEBOUNDARY","HBOUNDARY","HATCHGENERATEBOUNDARY"
"複数のレイアウトを統合するEXPRESSツールズのコマンドは？","PUBLISH","EXPORTLAYOUT","WBLOCK","LAYOUTMERGE","LAYOUTMERGE"
"選択オブジェクトの詳細情報を表示するコマンドは？","LIST","INFO","DATA","PROPERTIES","LIST"
"外部参照やブロック内のオブジェクトをコピーするコマンドは？","COPY","EXCOPY","NCOPY","ARRAY","NCOPY"
"コマンドラインから移動距離を入力し画面移動できるコマンドは？","PAN","-PAN","PANPLUS","PANMOVE","-PAN"
"ユーザ名、現在の日付と時刻、図面名などを含むブロックを挿入するコマンドは？","DWGFIELD","REVDATE","DATENAME","TIMESTAMP","REVDATE"
"スクリプトを実行するコマンドは？","SCRIPT","SCRIPTRUN","EXECUTE","LOAD","SCRIPT"
"尺度リストを編集するコマンドは？","SCALE","SCALETEXT","SCALELISTEDIT","SCALELIST","SCALELISTEDIT"
"オブジェクト選択を行うコマンドは？","SELECTION","FILTER","SELECT","PSELECT","SELECT"
"フリーハンドで線を描画するコマンドは？","DRAW","SKETCH","PENCIL","LINEPLUS","SKETCH"
"テキストの大文字・小文字を変換するEXPRESSツールズのコマンドは？","TCASE","TEXTCASE","CHANGECASE","CASE","TCASE"
"円形に文字を配置するEXPRESSツールズのコマンドは？","TCIRCLE","CIRCLETEXT","TALIGN","TEXTCIRCLE","TCIRCLE"
"文字の向きを回転して読みやすくするEXPRESSツールズのコマンドは？","TORIENT","ROTATETEXT","TEXTALIGN","TCASE","TORIENT"
"文字に連続番号を割り当てるEXPRESSツールズのコマンドは？","TCOUNT","TXTNUM","COUNTTEXT","SEQTEXT","TCOUNT"
"指定したブロックのすべてのインスタンスを別のブロックに置き換えるEXPRESSツールズのコマンドは？","REPLACEBLOCK","BLOCKREPLACE","BREPLACE","REPLACEBL","BLOCKREPLACE"
"文字オブジェクトを分解してポリライン変換するEXPRESSツールズのコマンドは？","BURST","EXPLODE","TXTEXP","EXPTXT","TXTEXP"
"隣接するビューポート内のビューを位置合わせするEXPRESSツールズのコマンドは？","VPSYNC","VPCLIP","MVIEW","SYNCVIEW","VPSYNC"
