問題,選択肢1,選択肢2,選択肢3,選択肢4,正解
図面を開くショートカットキーは？,Ctrl+O,Ctrl+D,Ctrl+H,Ctrl+F,Ctrl+O
グループ選択のオン・オフを切り替えるショートカットキーは？,Ctrl+H,Ctrl+Shift+H,Ctrl+I,Ctrl+J,Ctrl+H
ヘルプを表示するショートカットキーは？,F1,F2,F3,F4,F1
テキストウィンドウのオン・オフを切り替えるショートカットキーは？,F2,F1,F3,F4,F2
オブジェクトスナップモードのオン・オフを切り替えるショートカットキーは？,F3,F2,F4,F5,F3
グリッドモードのオン・オフを切り替えるショートカットキーは？,F7,F8,F9,F10,F7
直交モードのオン・オフを切り替えるショートカットキーは？,F8,F7,F9,F10,F8
スナップモードのオン・オフを切り替えるショートカットキーは？,F9,F8,F10,F11,F9
オブジェクトスナップトラッキングのオン・オフを切り替えるショートカットキーは？,F11,F10,F12,F1,F11
ダイナミック入力モードのオン・オフを切り替えるショートカットキーは？,F12,F11,F10,F9,F12
フルスクリーン表示のオン・オフを行うショートカットキーは？,Ctrl+0,Ctrl+1,Ctrl+2,Ctrl+3,Ctrl+0
プロパティパレットのオン・オフを表示するショートカットキーは？,Ctrl+1,Ctrl+2,Ctrl+3,Ctrl+4,Ctrl+1
Design Centerパレットを表示するショートカットキーは？,Ctrl+2,Ctrl+1,Ctrl+3,Ctrl+4,Ctrl+2
ツールパレットを表示するショートカットキーは？,Ctrl+3,Ctrl+2,Ctrl+4,Ctrl+5,Ctrl+3
クイック計算を表示するショートカットキーは？,Ctrl+8,Ctrl+7,Ctrl+9,Ctrl+0,Ctrl+8
コマンドラインのオン・オフを切り替えるショートカットキーは？,Ctrl+9,Ctrl+8,Ctrl+0,Ctrl+1,Ctrl+9
オブジェクトを切り取るショートカットキーは？,Ctrl+X,Ctrl+C,Ctrl+V,Ctrl+Shift+V,Ctrl+X
基点コピーのショートカットキーは？,Ctrl+Shift+C,Ctrl+Shift+V,Ctrl+C,Ctrl+X,Ctrl+Shift+C
クリップボードの内容をブロックとして貼り付けるショートカットキーは？,Ctrl+Shift+V,Ctrl+Shift+C,Ctrl+V,Ctrl+X,Ctrl+Shift+V
直前の操作を元に戻すショートカットキーは？,Ctrl+Z,Ctrl+Y,Ctrl+C,Ctrl+X,Ctrl+Z
元に戻した操作をやり直すショートカットキーは？,Ctrl+Y,Ctrl+T,Ctrl+C,Ctrl+V,Ctrl+Y
図面を保存するショートカットキーは？,Ctrl+S,Ctrl+N,Ctrl+O,Ctrl+P,Ctrl+S
印刷ダイアログボックスを表示するショートカットキーは？,Ctrl+P,Ctrl+O,Ctrl+S,Ctrl+N,Ctrl+P
開いている図面を次の図面に切り替えるショートカットキーは？,Ctrl+Tab,Ctrl+Shift+Tab,Ctrl+Page Up,Ctrl+Page Down,Ctrl+Tab
開いている図面を次の図面に切り替えるショートカットキーは？,Ctrl+Shift+Tab,Ctrl+Tab,Ctrl+Page Up,Ctrl+Page Down,Ctrl+Shift+Tab
現在の図面の前のレイアウトタブに切り替えるショートカットキーは？,Ctrl+Page Up,Ctrl+Page Down,Ctrl+Tab,Ctrl+Shift+Tab,Ctrl+Page Up
現在の図面の次のレイアウトタブに切り替えるショートカットキーは？,Ctrl+Page Down,Ctrl+Page Up,Ctrl+Tab,Ctrl+Shift+Tab,Ctrl+Page Down
終了するショートカットキーは？,Ctrl+Q,Ctrl+W,Ctrl+E,Ctrl+P,Ctrl+Q
すべてのオブジェクトを選択するショートカットキーは？,Ctrl+A,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+A
ビューポートを循環選択するショートカットキーは？,Ctrl+K,Ctrl+R,Ctrl+V,Ctrl+Shift+J,Ctrl+R
