問題,選択肢1,選択肢2,選択肢3,選択肢4,正解
"オブジェクトを指定したパスに沿って配列複写するコマンドは？","ARRAY","ARRAYPATH","PATHEXTEND","DUPLICATEPATH","ARRAYPATH"
"閉じた領域の境界線を作成するコマンドは？","REGION","BOUNDARY","ENCLOSE","POLYGON","BOUNDARY"
"オブジェクトをモデル空間とレイアウト空間間で移動するコマンドは？","WBLOCK","CHSPACE","LAYOUTSWAP","SPACECONVERT","CHSPACE"
"寸法の自動調整を解除するコマンドは？","DIMROTATEOFF","DIMDISASSOCIATE","DIMEDIT","DIMBREAK","DIMDISASSOCIATE"
"複数の寸法の寸法値を回転・修正または元の位置に戻すコマンドは？","DIMADJUST","DIMCONTINUE","DIMEDIT","DIMRECOVER","DIMEDIT"
"回転した長さ寸法を作成するコマンドは？","DIMANGULAR","DIMRADIUS","DIMROTATED","DIMLENGTHROT","DIMROTATED"
"寸法テキストの文字位置を調整するコマンドは？","DIMTEXTALIGN","DIMTEDIT","DIMTEXTTUNE","DIMPOSITION","DIMTEDIT"
"複数のDWGのバージョンを一括で変更できるコマンドは？","VERSIONSWAP","DWGCONVERT","FILECONVERT","DWGVERSION","DWGCONVERT"
"図面を関連ファイルとまとめパッケージとして送信できるコマンドは？","FILEPACK","ETRANSMIT","PACKAGE","BUNDLE","ETRANSMIT"
"指定したレイアウトを個別のDWGとして出力するコマンドは？","EXPORTLAYOUT","CHSPACE","PAPEREXPORT","WBLOCK","EXPORTLAYOUT"
"自動更新するフィールドを挿入するコマンドは？","FIELD","AUTOTEXT","MTEXT","INSERTFIELD","FIELD"
"ファイルタブを表示するコマンドは？","FILETAB","TABVIEW","DWGTAB","WORKSPACE","FILETAB"
"オブジェクトにURL等のリンクを設定するコマンドは？","HYPERLINK","LINKSETUP","WEBLINK","URLASSIGN","HYPERLINK"
"指定したポイントの座標を取得するコマンドは？","GETCOORD","POINTVIEW","ID","COORDINS","ID"
"選択したオブジェクト以外を非表示にするコマンドは？","ISOLATEOBJECTS","HIDEOTHERS","FREEZE","LAYEROFF","ISOLATEOBJECTS"
"文字の位置を変えずに基点だけ変更するコマンドは？","TEXTBASESHIFT","JUSTIFYTEXT","TEXTALIGN","TEXTORIGIN","JUSTIFYTEXT"
"ビューポートを作成・管理するコマンドは？","MVIEW","VIEWPORT","VPCLIP","VPORTCTRL","MVIEW"
"直前に削除したオブジェクトを復活するコマンドは？","OOPS","UNDO","RECOVER","REINSERT","OOPS"
"引き出し線を作成するコマンドは？","QLEADER","LEADER","BLEADER","ANNOTATELEAD","QLEADER"
"複数の図面を一括で修復するコマンドは？","RECOVERALL","RECOVER","AUDIT","REPAIRALL","RECOVERALL"
"色従属印刷スタイル(CTB)を名前付き印刷スタイル(STB)に変換するコマンドは？","CONVERTCTB","PLOTSTYLECONVERT","CTB2STB","STBCONVERT","CONVERTCTB"
"オブジェクトの始点と終点を反転するコマンドは？","REVERSE","ROTATE","REBIRTH","FLIPENDS","REVERSE"
"リボンを表示するコマンドは？","RIBBON","TOOLPALETTE","WORKSPACE","UISET","RIBBON"
"文字オブジェクトの尺度を調整するコマンドは？","SCALETEXT","TEXTSCALE","SCALE","TEXTFIT","SCALETEXT"
"選択したオブジェクトのプロパティをByLayerに設定するコマンドは？","SETBYLAYER","LAYISO","LAYERWALK","PROPLAYER","SETBYLAYER"
"グループ化されたオブジェクトのグループを解除するコマンドは？","UNGROUP","EXPLODE","DISBAND","GROUPDEL","UNGROUP"
"ビューポートの表示範囲をクリップするコマンドは？","VPCLIP","CLIPVIEW","VIEWCLIP","VIEWPORTCLIP","VPCLIP"
"選択したオブジェクトや図面全体を個別のDWGとして書き出すコマンドは？","WBLOCK","BLOCKEXPORT","DWGEXPORT","FILEOUT","WBLOCK"
"外部参照の表示範囲を制限するコマンドは？","XCLIP","XREFCLIP","CLIPXREF","XBOUNDARY","XCLIP"
"分解後のオブジェクトのプロパティを指定して分解する(拡張分解)コマンドは？","XPLODE","EXPLODE","SPLITEX","BREAKOUT","XPLODE"
