問題,選択肢1,選択肢2,選択肢3,選択肢4,正解
"オブジェクトを複数の基準点に位置合わせするコマンドは？","COINCIDE","ALIGN","ADJUST","CONFORM","ALIGN"
"円弧を作成するコマンドは？","SECTOR","ARC","SEGMENT","CURVATURE","ARC"
"オブジェクトを等間隔で複製するコマンドは？","COPYARRAY","ARRAY","REPLICATE","PATTERN","ARRAY"
"複数のオブジェクトをブロック化するコマンドは？","GROUP","BLOCK","ASSEMBLE","COMPOSE","BLOCK"
"オブジェクトを分割・切断するコマンドは？","SLICE","BREAK","DIVIDE","SEVER","BREAK"
"交差するエッジを面取りするコマンドは？","FILLET","CHAMFER","BEVEL","TRUNCATE","CHAMFER"
"円を作成するコマンドは？","ARC","CIRCLE","ELLIPSE","ROUND","CIRCLE"
"水平・垂直の長さ寸法を記入するコマンドは？","DIMORTHO","DIMLINEAR","DIMEDIT","DIMALIGNED","DIMLINEAR"
"斜めの平行寸法を記入するコマンドは？","DIMSLANTED","DIMLINEAR","DIMALIGNED","DIMANGLE","DIMALIGNED"
"オブジェクトを削除するコマンドは？","DEL","ERASE","REMOVE","CLEAR","ERASE"
"ブロックを分解するコマンドは？","UNGROUP","EXPLODE","DISASSEMBLE","DECOMPOSE","EXPLODE"
"オブジェクトを他のオブジェクトとぶつかる位置まで延長するコマンドは？","LENGTHEN","EXTEND","PROLONG","STRETCH","EXTEND"
"角を丸くしたり包絡処理をするコマンドは？","CHAMFER","FILLET","RADIUS","ROUNDING","FILLET"
"図面内の特定の文字を検索するコマンドは？","LOOKUP","FIND","QUERY","SEARCH","FIND"
"オブジェクトをグループ化するコマンドは？","JOIN","GROUP","COMBINE","ASSEMBLE","GROUP"
"ハッチングや塗りつぶしを作成するコマンドは？","FILL","HATCH","SHADE","PATTERN","HATCH"
"複数の線を統合するコマンドは？","MERGE","JOIN","UNITE","CONNECT","JOIN"
"画層を管理するコマンドは？","LAYMENU","LAYER","LAYISO","LAYERSET","LAYER"
"オブジェクトを反転するコマンドは？","FLIP","MIRROR","INVERT","ROTATE","MIRROR"
"複数行のテキストを記入するコマンドは？","TEXT","MTEXT","TXTBOX","ANNOTEXT","MTEXT"
"オブジェクトを一定距離で複製するコマンドは？","ARRAYSET","OFFSET","TRANSLATE","MOVE","OFFSET"
"プロパティでオブジェクトを検索し選択するコマンドは？","SELECT","QSELECT","QUICK","PROPERTYSCAN","QSELECT"
"長方形を描画するコマンドは？","SQUARE","RECTANG","BOX","QUADRILAT","RECTANG"
"画面表示を再描画するコマンドは？","REFRESH","REGEN","REBUILD","REDRAW","REGEN"
"雲形のマークを作成するコマンドは？","CLOUD","REVCLOUD","MARKUP","SKYCLOUD","REVCLOUD"
"オブジェクトを回転させるコマンドは？","SPIN","ROTATE","TWIST","TURN","ROTATE"
"スプライン曲線を作成するコマンドは？","CURVE","SPLINE","FREEFORM","DRAWCURVE","SPLINE"
"オブジェクトを伸縮し形状を変更するコマンドは？","MODIFY","RESIZE","STRETCH","ADJUST","STRETCH"
"文字を入力するコマンドは？","TNOTE","MOJI","TEXT","TYPEIN","TEXT"
"不要な部分をカットするコマンドは？","CUT","DELETE","TRIM","EXCISE","TRIM"
